14:16:04:961 [WARN]	SSL certificate signed by unknown CA
14:16:04:986 [WARN]	SSL certificate signed by unknown CA
14:16:04:986 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:16:04:986 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:16:04:996 [WARN]	SSL certificate signed by unknown CA
14:16:04:996 [WARN]	SSL certificate signed by unknown CA
14:16:04:996 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:16:05:012 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:16:05:018 [WARN]	SSL certificate signed by unknown CA
14:16:05:018 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:16:05:018 [WARN]	SSL certificate signed by unknown CA
14:16:05:019 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:16:05:023 [WARN]	SSL certificate signed by unknown CA
14:16:05:024 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:16:05:024 [WARN]	SSL certificate signed by unknown CA
14:16:05:024 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:16:05:030 [WARN]	SSL certificate signed by unknown CA
14:16:05:030 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
